Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778875138,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778875139,5,,Aggregated,0.000000,0.000000,340,360,390,390,410,410,410,410,410,410,410,7,1,340,307.50361884877617,69.7234999970533,409.0853329980746,673.5714285714286
1778875140,10,,Aggregated,0.000000,0.000000,85,160,340,340,390,410,410,410,410,410,410,19,13,85,146.677789357981,3.011166991200298,409.0853329980746,396.57894736842104
1778875141,15,,Aggregated,5.000000,0.000000,5,84,86,160,340,390,410,410,410,410,410,34,28,5,83.67960525484865,2.30862497119233,409.0853329980746,264.8529411764706
1778875142,20,,Aggregated,9.000000,6.000000,4,4,5,70,160,340,390,410,410,410,410,65,59,4,45.531608935338085,1.881416013929993,409.0853329980746,185.27692307692308
1778875143,20,,Aggregated,9.000000,6.000000,4,4,5,6,86,340,390,410,410,410,410,84,78,4,36.0636641410002,1.7909579910337925,409.0853329980746,165.53571428571428
1778875144,20,,Aggregated,15.500000,14.000000,4,4,4,5,85,230,360,390,410,410,410,103,97,4,30.088107980385388,1.7470840248279274,409.0853329980746,153.07766990291262
1778875145,20,,Aggregated,16.800000,15.600000,4,4,4,4,70,160,360,390,410,410,410,126,120,4,25.147045961126597,1.3437500456348062,409.0853329980746,143.02380952380952
1778875146,20,,Aggregated,16.666667,15.666667,4,4,4,4,8,100,360,390,410,410,410,149,143,4,21.690620250074854,1.3437500456348062,409.0853329980746,136.0738255033557
1778875147,20,,Aggregated,17.571429,16.714286,4,4,4,4,6,86,340,390,410,410,410,175,169,4,19.033264051790216,1.3437500456348062,409.0853329980746,130.41714285714286
1778875148,20,,Aggregated,18.375000,17.625000,4,4,4,4,5,85,340,390,410,410,410,197,191,4,17.230676208755124,1.2739590019918978,409.0853329980746,126.79695431472081
1778875149,20,,Aggregated,19.000000,18.333333,4,4,4,4,5,85,340,360,410,410,410,218,212,4,15.92333202326132,1.2739590019918978,409.0853329980746,124.0229357798165
1778875150,20,,Aggregated,19.500000,18.900000,4,4,4,4,5,70,340,360,410,410,410,242,236,4,14.695853492329745,1.2739590019918978,409.0853329980746,121.44214876033058
1778875151,20,,Aggregated,21.200000,21.100000,4,4,4,4,5,12,230,360,410,410,410,263,257,4,13.806422232843213,1.2739590019918978,409.0853329980746,119.5703422053232
1778875152,20,,Aggregated,22.100000,22.100000,4,4,4,4,5,8,230,360,410,410,410,286,280,4,12.974349518511705,1.2739590019918978,409.0853329980746,117.83566433566433
1778875153,20,,Aggregated,22.800000,22.800000,4,4,4,4,5,6,160,340,410,410,410,310,304,4,12.220565875383816,1.2739590019918978,409.0853329980746,116.3
1778875154,20,,Aggregated,22.200000,22.200000,4,4,4,4,5,6,160,340,410,410,410,330,324,4,11.692484231863284,1.2739590019918978,409.0853329980746,115.19090909090909
1778875155,20,,Aggregated,22.100000,22.100000,4,4,4,4,4,6,100,340,410,410,410,352,346,4,11.159778538884977,1.2739590019918978,409.0853329980746,114.11647727272727
1778875156,20,,Aggregated,22.500000,22.500000,4,4,4,4,4,6,100,340,410,410,410,374,368,4,10.700600170082149,1.2739590019918978,409.0853329980746,113.16844919786097
1778875157,20,,Aggregated,22.700000,22.700000,4,4,4,4,4,6,100,340,410,410,410,394,388,4,10.345182219948052,1.2739590019918978,409.0853329980746,112.3984771573604
1778875158,20,,Aggregated,22.100000,22.100000,4,4,4,4,4,5,86,340,410,410,410,415,409,4,9.9957049245026,1.2739590019918978,409.0853329980746,111.66987951807229
1778875159,20,,Aggregated,22.000000,22.000000,4,4,4,4,4,5,86,340,410,410,410,437,431,4,9.669239516503197,1.2739590019918978,409.0853329980746,110.9816933638444
1778875160,20,,Aggregated,21.700000,21.700000,4,4,4,4,4,5,85,340,410,410,410,459,453,4,9.3642490102315,1.2739590019918978,409.0853329980746,110.359477124183
1778875161,20,,Aggregated,21.500000,21.500000,4,4,4,4,4,5,85,340,410,410,410,476,470,4,9.165417119403793,1.2739590019918978,409.0853329980746,109.91806722689076
1778875162,20,,Aggregated,21.600000,21.600000,4,4,4,4,4,5,85,230,410,410,410,503,497,4,8.84318060603152,1.2604170478880405,409.0853329980746,109.27833001988071
1778875163,20,,Aggregated,21.300000,21.300000,4,4,4,4,4,5,85,230,410,410,410,523,517,4,8.631018745440484,1.2604170478880405,409.0853329980746,108.8470363288719
1778875164,20,,Aggregated,21.200000,21.200000,4,4,4,4,4,5,85,230,410,410,410,546,540,4,8.411741245157621,1.2604170478880405,409.0853329980746,108.39010989010988
1778875165,20,,Aggregated,21.300000,21.300000,4,4,4,4,4,5,84,230,410,410,410,561,555,4,8.276073850293722,1.2604170478880405,409.0853329980746,108.11229946524064
1778875166,20,,Aggregated,21.300000,21.300000,4,4,4,4,4,5,84,230,410,410,410,588,582,4,8.061620984527403,1.2604170478880405,409.0853329980746,107.64795918367346
